City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
10,Acaraú,BR,75.92,few clouds,-2.8856,-40.12,castelo pizzaria
13,Bontang,ID,86.27,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
14,Arraial do Cabo,BR,73.11,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
17,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
18,Yining,CN,78.89,overcast clouds,29.0361,114.5636,Xiushui Hotel
19,Malindi,KE,78.8,broken clouds,-3.2175,40.1191,African House Resort
20,Puerto Ayora,EC,75.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Bima,ID,88.45,scattered clouds,-8.4667,118.7167,Lambitu Hotel
25,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Mangan,IN,79.5,clear sky,27.5167,88.5333,Hotel Mout View
30,Sur,OM,89.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
35,Lang Son,VN,84.18,overcast clouds,21.8333,106.7333,Khai Nga Hotel
38,Hithadhoo,MV,83.23,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Road Town,VG,79.0,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
42,Hong Kong,HK,86.0,few clouds,22.2855,114.1577,Mini Hotel Central
43,Busselton,AU,73.99,broken clouds,-33.65,115.3333,Observatory Guest House
47,Rūdbār,AF,77.81,clear sky,30.15,62.6,
65,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
66,Eydhafushi,MV,83.17,scattered clouds,5.1033,73.0708,Soneva Fushi
67,Rikitea,PF,78.01,light rain,-23.1203,-134.9692,Pension Maro'i
69,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
71,Chodavaram,IN,89.6,haze,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
72,Atuona,PF,80.08,light rain,-9.8,-139.0333,Villa Enata
74,Faqirwali,PK,88.25,clear sky,29.4663,73.03399999999999,Al makkah tayer faqirwali
75,Lorengau,PG,85.26,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Booué,GA,71.33,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
78,Acapulco de Juárez,MX,79.18,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
81,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
82,Biak,ID,83.5,moderate rain,-0.9131,122.8766,Penginapan Kim
84,Kuching,MY,89.6,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
85,Karratha,AU,89.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
87,Abu Dhabi,AE,78.8,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
88,Pīshvā,IR,80.6,few clouds,35.308,51.7267,شهرک خورشید هشتم
93,Mahébourg,MU,73.4,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Cabo San Lucas,MX,72.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Vanimo,PG,82.98,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
99,Le Port,RE,78.8,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
103,Vangaindrano,MG,72.55,light rain,-23.35,47.6,Hotel Fanilo
107,Kulhudhuffushi,MV,83.48,scattered clouds,6.6221,73.07,Haajy Guest House 1
108,Mitsamiouli,KM,81.05,light rain,-11.3847,43.2844,Foyer ADM
113,George Town,MY,87.8,few clouds,5.4112,100.3354,Cititel Penang
119,Naze,JP,75.2,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
124,Abengourou,CI,73.26,overcast clouds,6.7297,-3.4964,Hotel des Princes
130,Faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,Caravelas,BR,72.73,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
134,Fonte Boa,BR,73.38,overcast clouds,-2.4959,-66.2662,
135,Souillac,MU,73.4,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
145,Bilma,NE,83.08,few clouds,18.6853,12.9164,Expeditions Ténére voyages
148,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
150,Soto la Marina,MX,75.0,broken clouds,23.7667,-98.2167,Hotel Chicago
153,Weligama,LK,85.89,scattered clouds,5.9667,80.4167,Weligama Bay Resort
154,Ratnagiri,IN,87.6,light rain,16.9833,73.3,Hotel Landmark
155,Boende,CD,70.36,moderate rain,-0.2167,20.8667,
156,Umm Kaddadah,SD,80.67,broken clouds,13.6017,26.6876,
157,Butaritari,KI,83.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
162,Nioro,GM,74.59,overcast clouds,13.35,-15.75,
168,Adrar,MR,72.18,clear sky,20.5022,-10.0711,
176,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
179,Manoel Urbano,BR,72.16,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
181,Tabou,CI,79.09,overcast clouds,4.423,-7.3528,hotêl doufoulougou
182,Tual,ID,82.98,few clouds,-5.6667,132.75,Grand Vilia Hotel
183,Hobyo,SO,85.53,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
188,Sirte,LY,71.51,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
192,Tawao,MY,87.8,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
193,Along,IN,81.5,scattered clouds,28.1667,94.7667,Hotel West
194,Ābādān,IR,80.6,haze,30.3392,48.3043,سالن مراسمات خانه معلم
195,Hilo,US,78.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
200,Flinders,AU,72.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
208,Ouadda,CF,71.69,overcast clouds,8.0777,22.4007,
214,San Patricio,US,75.2,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Makkah al Mukarramah,SA,87.51,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
217,Labuhan,ID,85.64,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
218,Robertsport,LR,76.33,heavy intensity rain,6.7533,-11.3686,Kwepunha Retreat
219,Kifrī,IQ,87.58,broken clouds,34.6959,44.9661,میزان کفری
220,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
221,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
223,Timbiquí,CO,75.42,light rain,2.7717,-77.6654,hotel diana
227,Douentza,ML,82.24,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
229,Ganzhou,CN,77.81,broken clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
233,Samarai,PG,83.68,broken clouds,-10.6167,150.6667,Nuli Sapi
235,Santa Rita,BR,75.2,clear sky,-7.1139,-34.9781,Infinity Motel
237,Dicabisagan,PH,86.07,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
238,Pochutla,MX,82.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
246,Gizo Government Station,SB,83.77,light rain,-8.103,156.8419,Imagination Island
248,Sibolga,ID,83.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
251,Omboué,GA,73.58,overcast clouds,-1.5746,9.2618,Hotel Olako
255,Curaçá,BR,72.77,broken clouds,-8.9903,-39.9094,Curaca
257,Vice,PE,71.82,scattered clouds,-5.4167,-80.7833,Hospedaje San Jacinto
258,Emerald,AU,78.01,overcast clouds,-23.5333,148.1667,The Irish Village
260,Perth,AU,82.99,clear sky,-31.9333,115.8333,Beatty Lodge
272,Japura,ID,88.25,light rain,-0.3167,102.35,Rumah mbah Jamah
274,Puerto El Triunfo,SV,77.0,few clouds,13.2833,-88.55,Hotel Jardin
281,Balkanabat,TM,74.44,overcast clouds,39.5108,54.3671,Nebitchi Hotel
283,Bengkulu,ID,83.55,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Port-Gentil,GA,76.82,overcast clouds,-0.7193,8.7815,Fengshui Residence
286,Pitimbu,BR,75.2,clear sky,-7.4706,-34.8086,Reserva do Abiaí
289,Berbera,SO,84.02,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
291,Kampot,KH,84.2,scattered clouds,10.6167,104.1833,Two Moons Hotel
295,Atar,MR,73.29,clear sky,20.5169,-13.0499,Oumou Elghoura
