City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Harper,LR,4.375,-7.7169,80.02,86,100,6.4,overcast clouds
1,Hasaki,JP,35.7333,140.8333,66.0,39,20,14.97,few clouds
2,São João da Barra,BR,-21.6403,-41.0511,67.44,88,0,9.19,clear sky
3,Paka,MY,4.6374,103.4368,86.0,74,20,3.44,few clouds
4,Castro,BR,-24.7911,-50.0119,51.08,95,22,2.46,few clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,44,3.0,scattered clouds
6,Kapaa,US,22.0752,-159.319,78.8,69,40,8.05,scattered clouds
7,Avarua,CK,-21.2078,-159.775,78.8,78,75,12.66,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,77.92,78,100,14.05,light rain
9,Bengkulu,ID,-3.8004,102.2655,83.01,63,63,4.38,broken clouds
10,Shubarshi,KZ,48.5872,57.1869,49.87,53,100,13.18,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,46.4,93,75,6.91,light rain
12,Gazli,UZ,40.1333,63.45,60.53,33,15,16.02,few clouds
13,Ushuaia,AR,-54.8,-68.3,41.0,93,75,10.36,broken clouds
14,Vaini,TO,-21.2,-175.2,86.0,79,75,4.61,light rain
15,Cidreira,BR,-30.1811,-50.2056,69.31,75,10,17.13,clear sky
16,Touros,BR,-5.1989,-35.4608,77.0,88,75,4.61,broken clouds
17,Dingle,PH,10.9995,122.6711,91.4,50,100,14.81,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,55.0,95,0,2.37,clear sky
19,La Ronge,CA,55.1001,-105.2842,23.0,46,55,4.61,broken clouds
20,Egvekinot,RU,66.3167,-179.1667,29.57,77,40,1.92,scattered clouds
21,Hobart,AU,-42.8794,147.3294,59.0,51,75,13.8,broken clouds
22,Kumul,CN,42.8,93.45,51.03,25,100,10.22,overcast clouds
23,Estelle,US,29.8458,-90.1067,60.8,72,75,6.91,broken clouds
24,Kokstad,ZA,-30.5472,29.4241,47.39,95,98,1.68,overcast clouds
25,Khatanga,RU,71.9667,102.5,31.77,92,100,15.32,overcast clouds
26,Havre-St-Pierre,CA,50.2334,-63.5986,35.6,93,90,13.8,overcast clouds
27,Esperance,AU,-33.8667,121.9,68.0,60,100,9.22,overcast clouds
28,Bethel,US,41.3712,-73.414,37.0,64,51,3.0,broken clouds
29,Shenjiamen,CN,29.9576,122.298,62.17,97,100,5.53,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,28.4,59,90,3.44,light snow
31,Kavieng,PG,-2.5744,150.7967,82.29,76,90,7.78,light rain
32,Antalaha,MG,-14.9003,50.2788,74.35,92,94,6.82,light rain
33,Yinchuan,CN,38.4681,106.2731,66.31,48,100,11.27,overcast clouds
34,Garissa,KE,-0.4536,39.6401,78.53,76,100,12.44,overcast clouds
35,Kisangani,CD,0.5167,25.2,69.19,97,100,1.7,overcast clouds
36,Bhānvad,IN,21.9264,69.7736,82.4,83,40,6.91,haze
37,Barrow,US,71.2906,-156.7887,24.8,80,1,6.91,clear sky
38,Talnakh,RU,69.4865,88.3972,33.57,98,100,13.22,overcast clouds
39,Kieta,PG,-6.2167,155.6333,81.12,80,97,3.74,light rain
40,Champerico,GT,14.3,-91.9167,69.01,97,99,1.95,overcast clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,73,20,2.3,few clouds
42,Bitung,ID,1.4451,125.1824,89.6,66,40,5.75,scattered clouds
43,Tolaga Bay,NZ,-38.3667,178.3,65.17,72,100,5.73,overcast clouds
44,Tautira,PF,-17.7333,-149.15,84.2,65,20,8.05,moderate rain
45,Busselton,AU,-33.65,115.3333,74.01,39,62,3.06,broken clouds
46,Nshamba,TZ,-1.7983,31.5511,68.0,88,75,11.5,light rain
47,Mataura,NZ,-46.1927,168.8643,52.0,92,100,5.99,overcast clouds
48,Jamestown,US,42.097,-79.2353,32.0,86,1,13.8,clear sky
49,Balkanabat,TM,39.5108,54.3671,73.71,17,93,11.83,overcast clouds
50,Snezhnogorsk,RU,69.1933,33.2531,32.0,93,40,4.47,light snow
51,Sterling,US,39.0062,-77.4286,43.0,56,90,8.05,overcast clouds
52,Quba,AZ,41.3626,48.5152,50.49,80,73,5.48,broken clouds
53,Yellowknife,CA,62.456,-114.3525,14.0,57,90,12.66,light snow
54,Vostok,RU,46.4856,135.8833,63.59,33,100,10.33,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,57.0,67,98,3.0,overcast clouds
56,Strezhevoy,RU,60.7333,77.5889,39.2,45,0,11.18,clear sky
57,Borogontsy,RU,62.6683,131.1683,29.59,68,96,6.46,overcast clouds
58,Lake Shasta,US,40.6804,-122.3708,69.8,37,1,6.91,clear sky
59,Coahuayana Viejo,MX,18.7333,-103.6833,71.13,68,99,3.65,overcast clouds
60,Pisco,PE,-13.7,-76.2167,66.2,82,0,5.75,clear sky
61,Vangaindrano,MG,-23.35,47.6,70.43,86,12,0.13,light rain
62,Lebu,CL,-37.6167,-73.65,49.82,78,45,4.05,scattered clouds
63,Laas,IT,46.6166,10.7002,43.0,87,0,5.75,clear sky
64,Bluff,NZ,-46.6,168.3333,52.0,92,100,5.99,light rain
65,Bonavista,CA,48.6499,-53.1147,42.8,100,100,8.05,overcast clouds
66,Isangel,VU,-19.55,169.2667,86.0,74,75,7.56,broken clouds
67,Hatillo,PR,18.4863,-66.8254,75.99,94,75,5.64,broken clouds
68,Port Macquarie,AU,-31.4333,152.9167,72.0,44,0,1.99,clear sky
69,Dikson,RU,73.5069,80.5464,32.61,94,100,23.26,overcast clouds
70,Coxim,BR,-18.5067,-54.76,68.85,44,0,4.27,clear sky
71,Tulnici,RO,45.9167,26.6667,44.6,87,20,14.97,few clouds
72,Hilo,US,19.7297,-155.09,80.6,54,40,10.36,scattered clouds
73,Lüderitz,NA,-26.6481,15.1594,65.7,67,19,9.06,few clouds
74,Tiksi,RU,71.6872,128.8694,18.77,83,100,3.89,overcast clouds
75,Butaritari,KI,3.0707,172.7902,82.98,72,70,8.81,broken clouds
76,Souillac,MU,-20.5167,57.5167,73.4,94,75,3.44,broken clouds
77,Iwaki,JP,37.05,140.8833,62.01,38,1,8.01,clear sky
78,Avera,US,33.194,-82.5271,44.6,70,1,3.4,clear sky
79,Shahr-e Bābak,IR,30.1165,55.1186,70.77,23,8,3.56,clear sky
80,Albany,US,42.6001,-73.9662,37.0,45,8,1.99,clear sky
81,Salalah,OM,17.0151,54.0924,78.8,78,0,3.44,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,75,12.66,light rain
83,Norman Wells,CA,65.282,-126.8329,28.4,54,75,9.22,broken clouds
84,Mahébourg,MU,-20.4081,57.7,73.4,94,75,3.44,broken clouds
85,Hamilton,US,39.1834,-84.5333,39.99,80,1,3.62,clear sky
86,Dukat,RU,62.55,155.55,23.47,90,100,5.23,light snow
87,Codrington,AU,-38.2667,141.9667,59.09,63,100,14.09,overcast clouds
88,Bubaque,GW,11.2833,-15.8333,77.94,69,41,13.29,scattered clouds
89,Pevek,RU,69.7008,170.3133,25.48,78,53,1.7,broken clouds
90,Camacha,PT,33.0833,-16.3333,66.2,77,40,17.27,scattered clouds
91,Comodoro Rivadavia,AR,-45.8667,-67.5,41.0,81,0,5.75,clear sky
92,Naze,JP,28.3667,129.4833,73.4,68,75,23.02,broken clouds
93,Pouébo,NC,-20.4,164.5667,81.12,73,99,8.37,overcast clouds
94,Haifa,IL,32.8156,34.9892,60.8,77,75,2.3,broken clouds
95,Chara,RU,56.9064,118.2631,26.58,67,18,7.0,few clouds
96,Vila,PT,42.0304,-8.1588,48.99,94,100,1.99,overcast clouds
97,Ribeira Grande,PT,38.5167,-28.7,57.2,75,16,34.85,few clouds
98,Richards Bay,ZA,-28.783,32.0377,65.57,89,82,9.4,light rain
99,Nishihara,JP,26.1842,127.7558,69.8,100,90,28.77,light rain
100,Atuona,PF,-9.8,-139.0333,80.08,81,87,20.89,light rain
101,Barcelos,PT,41.5388,-8.6151,59.0,82,0,8.05,clear sky
102,Nemuro,JP,43.3236,145.575,44.6,65,20,11.5,few clouds
103,Hithadhoo,MV,-0.6,73.0833,83.08,71,90,6.31,overcast clouds
104,Fortuna,US,40.5982,-124.1573,51.01,93,20,11.5,few clouds
105,Chipinge,ZW,-20.1883,32.6236,53.96,91,1,2.44,clear sky
106,Viedma,AR,-40.8135,-62.9967,58.82,69,75,6.64,broken clouds
107,George Town,MY,5.4112,100.3354,87.01,74,20,3.44,few clouds
108,Bambous Virieux,MU,-20.3428,57.7575,75.0,94,75,3.44,broken clouds
109,Ierapetra,GR,35.01,25.7353,59.0,87,0,8.05,clear sky
110,Kibre Mengist,ET,5.8833,38.9833,56.55,95,99,2.08,overcast clouds
111,Karratha,AU,-20.7377,116.8463,88.92,18,0,17.4,clear sky
112,Mattru,SL,7.6244,-11.8332,76.98,91,97,3.69,moderate rain
113,Husavik,IS,66.0449,-17.3389,35.6,93,0,5.14,clear sky
114,Thompson,CA,55.7435,-97.8558,17.6,67,90,13.8,light snow
115,Sioux Lookout,CA,50.1001,-91.917,48.2,40,20,4.61,few clouds
116,Prince Rupert,CA,54.3161,-130.3201,53.6,32,1,9.22,clear sky
117,San Patricio,US,28.017,-97.5169,73.4,88,90,12.66,overcast clouds
118,Katsuura,JP,35.1333,140.3,66.0,42,20,10.36,few clouds
119,Upata,VE,8.0086,-62.3989,78.01,81,98,5.99,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,0,16.11,clear sky
121,Baft,IR,29.234,56.6057,66.65,25,2,2.17,clear sky
122,Upernavik,GL,72.7868,-56.1549,13.51,87,99,3.36,overcast clouds
123,Nikolskoye,RU,59.7035,30.7861,42.01,87,0,8.95,clear sky
124,Mandalī,IQ,33.7499,45.5541,86.04,22,99,9.22,overcast clouds
125,The Valley,AI,18.217,-63.0578,79.0,78,20,10.36,few clouds
126,Te Anau,NZ,-45.4167,167.7167,49.75,90,100,5.68,moderate rain
127,Pacific Grove,US,36.6177,-121.9166,51.01,88,78,9.08,broken clouds
128,Rosarito,MX,32.3333,-117.0333,59.0,88,90,8.05,overcast clouds
129,Constantine,DZ,36.365,6.6147,51.8,93,75,3.44,broken clouds
130,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.16,61,98,7.18,overcast clouds
131,Santa Inês,BR,-3.6667,-45.38,73.42,98,100,1.16,heavy intensity rain
132,Apomu,NG,7.3333,4.1833,73.92,97,97,2.04,overcast clouds
133,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,20.71,few clouds
134,Itoman,JP,26.1247,127.6694,69.8,88,75,24.16,light rain
135,Alvorada,BR,-12.48,-49.1247,70.72,90,10,0.89,clear sky
136,Bereda,ES,43.2686,-7.5406,50.0,100,79,1.54,broken clouds
137,Ust'-Omchug,RU,61.15,149.6333,27.68,91,100,2.35,light snow
138,Sur,OM,22.5667,59.5289,87.94,42,0,3.36,clear sky
139,Saskylakh,RU,71.9167,114.0833,11.52,90,94,6.69,overcast clouds
140,Takaka,NZ,-40.85,172.8,61.0,86,100,5.01,overcast clouds
141,Jalu,LY,29.0331,21.5482,66.9,24,9,12.66,clear sky
142,Boende,CD,-0.2167,20.8667,70.65,90,73,2.06,light rain
143,Narsaq,GL,60.9167,-46.05,39.2,52,40,3.44,scattered clouds
144,Ancud,CL,-41.8697,-73.8203,51.01,100,90,6.91,light rain
145,Yulara,AU,-25.2406,130.9889,73.4,31,0,10.36,clear sky
146,Michigan City,US,41.7075,-86.895,48.99,53,1,6.91,clear sky
147,Ouango,CF,4.3133,22.5552,70.39,98,100,2.15,moderate rain
148,Pelym,RU,61.0108,61.9978,41.94,93,100,5.99,light rain
149,Carnarvon,AU,-24.8667,113.6333,84.2,26,99,3.44,overcast clouds
150,Saint George,US,37.1041,-113.5841,64.99,17,1,4.61,clear sky
151,La Santisima Trinidad,BO,-14.8333,-64.9,73.98,91,58,3.42,broken clouds
152,Biloela,AU,-24.4167,150.5,76.53,27,54,9.35,broken clouds
153,Lorengau,PG,-2.0226,147.2712,85.15,66,96,9.98,moderate rain
154,Coyhaique,CL,-45.5752,-72.0662,41.0,93,40,6.91,scattered clouds
155,Alihe,CN,50.5667,123.7167,47.37,21,94,7.0,overcast clouds
156,Morant Bay,JM,17.8815,-76.4093,80.6,74,20,5.75,few clouds
157,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.4,66,64,11.18,broken clouds
158,Petauke,ZM,-14.2426,31.3253,58.87,91,9,5.61,clear sky
159,Itarema,BR,-2.9248,-39.9167,75.72,89,17,4.76,few clouds
160,Port Alfred,ZA,-33.5906,26.891,66.07,80,1,19.55,clear sky
161,Meadow Lake,US,34.8014,-106.5436,64.4,9,75,5.75,broken clouds
162,Waipawa,NZ,-41.4122,175.5153,64.4,68,75,17.27,moderate rain
163,Kaitangata,NZ,-46.2817,169.8464,57.99,75,100,5.01,overcast clouds
164,Kloulklubed,PW,7.0419,134.2556,86.0,70,75,9.22,broken clouds
165,Dosso,NE,13.049,3.1937,86.13,18,69,6.62,broken clouds
166,Nānākuli,US,21.3906,-158.1547,80.6,50,75,8.05,broken clouds
167,Huarmey,PE,-10.0681,-78.1522,68.25,85,1,9.31,clear sky
168,Horsham,GB,51.064,-0.3272,36.0,100,0,2.3,clear sky
169,Arman',RU,59.7,150.1667,32.67,98,100,7.94,snow
170,Bay City,US,43.5945,-83.8889,39.0,48,1,6.91,clear sky
171,Lavrentiya,RU,65.5833,-171.0,32.79,71,100,1.3,overcast clouds
172,Lakatoro,VU,-16.0999,167.4164,84.87,72,28,11.25,scattered clouds
173,Davila,PH,18.4726,120.5763,82.4,74,20,8.05,few clouds
174,Severo-Kuril'sk,RU,50.6789,156.125,35.4,92,82,3.38,broken clouds
175,Ponta do Sol,PT,32.6667,-17.1,60.01,86,81,5.01,broken clouds
176,Zhirnovsk,RU,50.9845,44.7735,51.73,72,79,5.28,broken clouds
